Province/State,Cases,Deaths
Alaska,0,0
Arizona,9,0
Arkansas,6,0
California,221,4
Colorado,45,0
Connecticut,5,0
Delaware,1,0
Diamond Princess,46,0
District of Columbia,10,0
Florida,35,2
Georgia,31,1
Grand Princess,21,0
Hawaii,2,0
Idaho,0,0
Illinois,32,0
Indiana,13,0
Iowa,16,0
Kansas,1,0
Kentucky,10,0
Louisiana,19,0
Maine,0,0
Maryland,12,0
Massachusetts,108,0
Michigan,2,0
Minnesota,9,0
Mississippi,1,0
Missouri,1,0
Montana,1,0
Nebraska,10,0
Nevada,14,0
New Hampshire,6,0
New Jersey,29,1
New Mexico,5,0
New York,328,0
North Carolina,15,0
North Dakota,1,0
Ohio,5,0
Oklahoma,2,0
Oregon,24,0
Pennsylvania,22,0
Rhode Island,5,0
South Carolina,12,0
South Dakota,8,1
Tennessee,18,0
Texas,27,0
Utah,5,0
Vermont,2,0
Virginia,17,0
Washington,442,31
West Virginia,0,0
Wisconsin,8,0
Wyoming,1,0
Alabama,0,0